codigo_docente,nome_docente
691878,Jane Aparecida Marques
2065862,Sandra Lucia Amaral de Assis Reimão
2166145,Antonio Takao Kanamaru
2166145,Antonio Takao Kanamaru
14660271,Adriana Schneider Dallolio
196611,Adriana Pedrosa Biscaia Tufaile
2341766,Carlos Molina Mendes
3079866,Gladys Beatriz Barreyro
6743581,Ursula Dias Peres
1538291,Marcos Ryotaro Hara
889774,Luis Mochizuki
2181970,Ulysses Fernandes Ervilha
2341766,Carlos Molina Mendes
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
2341766,Carlos Molina Mendes
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
2341766,Carlos Molina Mendes
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
2341766,Carlos Molina Mendes
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
2341766,Carlos Molina Mendes
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
2341766,Carlos Molina Mendes
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
597730,Cassio de Miranda Meira Junior
4881727,Flávio de Oliveira Pires
1791624,Reury Frank Pereira Bacurau
4881727,Flávio de Oliveira Pires
1791624,Reury Frank Pereira Bacurau
1447122,Marisa Accioly Rodrigues da Costa Domingues
5729116,Tânia Araújo Viel
5528582,Leonardo Dias Meireles
2527616,Regina Maura de Miranda
1823410,Sérgio Almeida Pacca
6600021,Sonia Regina Paulino
5528582,Leonardo Dias Meireles
2527616,Regina Maura de Miranda
1823410,Sérgio Almeida Pacca
6600021,Sonia Regina Paulino
5528582,Leonardo Dias Meireles
2527616,Regina Maura de Miranda
1823410,Sérgio Almeida Pacca
6600021,Sonia Regina Paulino
5528582,Leonardo Dias Meireles
2527616,Regina Maura de Miranda
